,気温(℃),降水量(mm),現地気圧(hPa),相対湿度(％)
260,7.4,0.0,1006.4,41.0
261,6.0,0.0,1007.1,43.0
262,6.7,0.0,1008.3,52.0
263,5.9,0.0,1009.0,58.0
264,5.2,0.0,1009.7,48.0
265,4.4,0.0,1010.5,51.0
266,4.5,0.0,1011.1,46.0
267,3.6,0.0,1011.7,51.0
268,3.3,0.0,1012.3,51.0
269,2.7,0.0,1012.8,54.0
270,2.7,0.0,1013.0,49.0
271,2.6,0.0,1014.2,46.0
272,3.4,0.0,1014.9,41.0
273,5.6,0.0,1015.9,34.0
274,6.0,0.0,1016.3,29.0
275,7.4,0.0,1016.0,30.0
276,7.7,0.0,1015.3,30.0
277,8.7,0.0,1015.4,27.0
278,8.5,0.0,1015.6,27.0
279,8.1,0.0,1016.0,29.0
280,7.5,0.0,1017.1,30.0
281,6.1,0.0,1018.3,35.0
282,5.6,0.0,1019.8,36.0
283,5.0,0.0,1020.3,39.0
284,4.6,0.0,1020.7,41.0
285,4.3,0.0,1020.8,43.0
286,3.9,0.0,1020.9,42.0
287,3.9,0.0,1021.0,42.0
288,3.8,0.0,1020.7,41.0
289,3.9,0.0,1021.7,39.0
290,4.2,0.0,1021.9,38.0
291,4.0,0.0,1022.2,38.0
292,3.6,0.0,1022.6,40.0
293,3.4,0.0,1023.5,41.0
294,4.6,0.0,1024.4,38.0
295,2.9,0.0,1025.4,46.0
296,4.4,0.0,1025.9,44.0
297,5.9,0.0,1026.1,42.0
298,7.7,0.0,1026.1,35.0
299,9.3,0.0,1025.1,34.0
300,10.0,0.0,1024.4,27.0
301,11.1,0.0,1023.7,25.0
302,11.2,0.0,1023.3,26.0
303,11.0,0.0,1024.1,27.0
304,10.2,0.0,1024.4,30.0
305,8.8,0.0,1025.5,34.0
306,7.8,0.0,1026.3,35.0
307,6.7,0.0,1026.6,39.0
308,6.3,0.0,1026.9,41.0
309,5.7,0.0,1027.1,45.0
310,5.0,0.0,1027.1,47.0
311,5.2,0.0,1026.8,43.0
312,4.7,0.0,1026.6,46.0
313,4.2,0.0,1026.3,49.0
314,3.1,0.0,1026.5,53.0
315,3.5,0.0,1026.3,49.0
316,2.1,0.0,1026.1,55.0
317,2.4,0.0,1026.3,56.0
318,2.3,0.0,1026.5,56.0
319,1.8,0.0,1026.6,57.0
320,2.7,0.0,1027.1,57.0
321,4.6,0.0,1026.9,48.0
322,7.0,0.0,1026.3,41.0
323,8.0,0.0,1024.9,37.0
324,9.7,0.0,1023.7,36.0
325,9.3,0.0,1022.8,35.0
326,10.4,0.0,1021.7,38.0
327,10.0,0.0,1022.3,41.0
328,9.1,0.0,1022.3,50.0
329,8.5,0.0,1022.9,55.0
330,8.3,0.0,1023.1,62.0
331,9.1,0.0,1022.4,59.0
332,8.9,0.0,1021.8,49.0
333,8.5,0.0,1021.1,51.0
334,8.3,0.0,1020.1,56.0
335,8.2,0.0,1019.8,55.0
336,7.9,0.0,1019.0,51.0
337,7.5,0.0,1018.5,52.0
338,7.1,0.0,1018.0,53.0
339,7.0,0.0,1017.5,52.0
340,7.2,0.0,1016.8,48.0
341,6.8,0.0,1016.7,48.0
342,6.2,0.0,1015.9,51.0
343,6.0,0.0,1014.7,53.0
344,6.5,0.0,1014.9,52.0
345,6.9,0.0,1014.5,52.0
346,5.4,0.0,1014.5,72.0
347,4.8,1.5,1012.9,82.0
348,4.8,1.5,1010.6,89.0
349,4.8,3.0,1007.9,93.0
350,4.4,6.0,1006.5,93.0
351,4.1,9.5,1005.1,94.0
352,4.1,8.0,1002.7,95.0
353,3.6,1.0,1001.3,95.0
354,3.5,0.0,1001.6,93.0
355,3.8,1.5,1002.6,93.0
356,4.6,1.5,1003.2,93.0
357,5.1,1.0,1003.6,91.0
358,5.1,0.5,1004.3,91.0
359,5.1,0.5,1004.6,94.0
360,5.5,0.0,1004.9,84.0
361,5.1,0.0,1005.5,82.0
362,5.9,0.0,1006.6,73.0
363,5.8,0.0,1007.1,70.0
364,5.5,0.0,1007.3,66.0
365,6.2,0.0,1008.4,61.0
366,5.8,0.0,1010.1,58.0
367,6.1,0.0,1010.6,54.0
368,7.1,0.0,1011.3,48.0
369,8.6,0.0,1012.0,47.0
370,9.8,0.0,1012.0,41.0
371,11.2,0.0,1011.8,38.0
372,12.5,0.0,1010.8,36.0
373,12.4,0.0,1011.3,30.0
374,12.9,0.0,1010.8,26.0
375,12.1,0.0,1010.6,31.0
376,10.9,0.0,1010.8,44.0
377,11.0,0.0,1011.1,42.0
378,10.0,0.0,1011.6,53.0
379,10.1,0.0,1011.0,51.0
380,9.6,0.0,1010.2,58.0
381,9.9,0.0,1009.4,58.0
382,8.9,0.0,1008.4,66.0
383,8.6,0.0,1007.2,77.0
384,7.3,0.0,1006.0,83.0
385,6.5,0.0,1005.3,84.0
386,5.7,0.0,1004.6,89.0
387,5.8,0.0,1003.2,90.0
388,4.9,0.0,1001.6,90.0
389,3.9,0.0,1001.0,93.0
390,3.6,0.0,1000.3,92.0
391,4.0,0.0,1000.8,88.0
392,6.5,0.0,1001.1,73.0
393,8.2,0.0,1002.1,68.0
394,9.7,0.0,1002.0,52.0
395,10.5,0.0,1002.1,44.0
396,11.0,0.0,1001.3,42.0
397,10.0,0.0,1001.3,39.0
398,8.2,0.0,1002.5,37.0
399,7.6,0.0,1003.7,35.0
400,7.1,0.0,1004.5,32.0
401,5.4,0.0,1005.8,35.0
402,4.4,0.0,1007.4,35.0
403,4.4,0.0,1007.8,32.0
404,3.9,0.0,1009.3,34.0
405,3.3,0.0,1010.9,36.0
406,2.5,0.0,1011.7,38.0
407,2.4,0.0,1012.8,37.0
408,1.5,0.0,1013.6,44.0
409,0.9,0.0,1014.2,51.0
410,0.4,0.0,1014.6,56.0
411,0.8,0.0,1014.5,48.0
412,0.8,0.0,1014.4,44.0
413,1.3,0.0,1014.5,37.0
414,1.2,0.0,1015.1,37.0
415,1.3,0.0,1015.5,35.0
416,2.2,0.0,1015.6,36.0
417,4.5,0.0,1015.4,29.0
418,6.7,0.0,1015.4,25.0
419,8.5,0.0,1014.8,24.0
420,9.5,0.0,1013.9,20.0
421,10.5,0.0,1013.3,20.0
422,10.0,0.0,1013.4,28.0
423,9.4,0.0,1014.3,29.0
424,7.9,0.0,1014.7,31.0
425,6.7,0.0,1015.3,34.0
426,5.6,0.0,1015.6,35.0
427,5.6,0.0,1014.9,35.0
428,5.0,0.0,1014.8,39.0
429,4.0,0.0,1015.1,43.0
430,4.1,0.0,1014.4,43.0
431,3.3,0.0,1013.5,45.0
432,2.9,0.0,1013.2,48.0
433,3.4,0.0,1012.3,44.0
434,2.9,0.0,1011.7,44.0
435,1.9,0.0,1010.1,45.0
436,0.8,0.0,1009.4,54.0
437,1.0,0.0,1009.1,53.0
438,0.1,0.0,1009.0,56.0
439,-0.4,0.0,1007.9,59.0
440,1.6,0.0,1008.0,53.0
441,3.9,0.0,1007.9,44.0
442,6.0,0.0,1007.6,42.0
443,7.6,0.0,1006.6,33.0
444,9.0,0.0,1005.6,31.0
445,10.4,0.0,1005.2,27.0
446,11.6,0.0,1005.1,28.0
447,11.1,0.0,1005.4,31.0
448,10.2,0.0,1005.9,34.0
449,8.6,0.0,1007.0,37.0
450,9.3,0.0,1008.2,36.0
451,8.4,0.0,1009.5,41.0
452,7.4,0.0,1010.5,44.0
453,6.5,0.0,1011.3,47.0
454,5.9,0.0,1012.0,53.0
455,5.5,0.0,1012.8,54.0
456,5.1,0.0,1013.0,55.0
457,4.8,0.0,1013.6,57.0
458,4.6,0.0,1014.0,58.0
459,3.9,0.0,1014.3,59.0
460,3.6,0.0,1014.3,58.0
461,3.7,0.0,1015.1,58.0
462,3.6,0.0,1016.2,58.0
463,4.3,0.0,1016.9,50.0
464,5.1,0.0,1017.7,47.0
465,6.5,0.0,1018.7,42.0
466,8.4,0.0,1018.9,35.0
467,9.8,0.0,1018.1,30.0
468,10.4,0.0,1017.6,28.0
469,11.0,0.0,1017.5,30.0
470,10.8,0.0,1017.8,32.0
471,9.8,0.0,1018.5,30.0
472,8.8,0.0,1019.1,29.0
473,7.3,0.0,1020.1,32.0
474,6.3,0.0,1021.4,36.0
475,5.8,0.0,1022.0,36.0
476,5.6,0.0,1022.9,37.0
477,4.9,0.0,1023.6,40.0
478,4.1,0.0,1024.9,41.0
479,3.7,0.0,1025.2,39.0
480,3.2,0.0,1025.0,42.0
481,2.9,0.0,1025.1,44.0
482,2.4,0.0,1026.0,44.0
483,2.8,0.0,1026.1,45.0
484,3.0,0.0,1025.9,45.0
485,2.9,0.0,1026.4,45.0
486,2.8,0.0,1026.6,44.0
487,2.5,0.0,1026.9,45.0
488,2.7,0.0,1027.6,45.0
489,1.8,0.0,1027.9,59.0
490,1.8,0.0,1027.8,62.0
491,2.5,0.0,1026.8,61.0
492,2.8,0.0,1025.8,65.0
493,2.6,0.0,1024.2,71.0
494,2.3,0.0,1023.5,77.0
495,2.0,0.5,1023.3,87.0
496,2.0,0.5,1023.2,91.0
497,1.8,1.0,1023.3,93.0
498,2.0,1.0,1023.6,94.0
499,2.2,0.5,1022.3,94.0
500,2.5,0.0,1022.1,94.0
501,2.8,0.5,1020.7,94.0
502,3.2,0.0,1020.4,92.0
503,3.1,0.0,1019.5,88.0
504,3.2,0.0,1019.2,87.0
505,3.5,0.0,1018.3,84.0
506,3.7,0.0,1017.9,82.0
507,3.8,0.0,1017.7,85.0
508,4.0,0.0,1016.9,83.0
509,4.1,0.0,1015.9,82.0
510,4.2,0.0,1016.4,80.0
511,4.4,0.0,1015.7,85.0
512,4.5,0.0,1014.5,89.0
513,4.7,0.0,1013.9,89.0
514,4.5,0.0,1013.5,92.0
515,4.4,0.5,1012.0,93.0
516,4.8,1.0,1009.9,94.0
517,4.6,1.5,1008.8,95.0
518,4.8,2.0,1008.3,95.0
519,5.4,1.5,1006.6,95.0
520,5.2,0.5,1005.3,96.0
521,5.1,0.0,1004.0,95.0
522,5.0,0.5,1002.8,96.0
523,4.6,0.0,1001.9,95.0
524,4.7,0.0,1000.9,95.0
525,4.9,0.0,999.8,95.0
526,5.2,0.0,999.4,95.0
527,5.1,0.0,998.6,94.0
528,5.1,0.0,997.9,95.0
529,5.0,1.5,997.1,96.0
530,5.0,0.5,997.3,96.0
531,5.1,2.5,997.6,95.0
532,5.2,1.5,998.1,96.0
533,5.4,1.5,998.3,96.0
534,5.3,0.0,999.4,97.0
535,5.3,0.0,1000.1,97.0
536,5.9,0.0,1000.9,97.0
537,7.3,0.0,1002.0,97.0
538,9.1,0.0,1002.6,74.0
539,11.1,0.0,1002.7,47.0
540,12.7,0.0,1002.3,47.0
541,12.5,0.0,1002.2,44.0
542,11.1,0.0,1003.0,35.0
543,9.8,0.0,1003.9,34.0
544,8.3,0.0,1005.4,35.0
545,7.1,0.0,1006.9,35.0
546,6.0,0.0,1008.3,36.0
547,5.4,0.0,1009.8,38.0
548,4.9,0.0,1010.7,41.0
549,4.8,0.0,1011.4,40.0
550,4.4,0.0,1012.7,44.0
551,4.0,0.0,1013.5,46.0
552,3.9,0.0,1013.0,42.0
553,3.4,0.0,1014.1,43.0
554,3.8,0.0,1014.7,41.0
555,3.6,0.0,1015.0,42.0
556,3.8,0.0,1015.6,42.0
557,3.5,0.0,1016.3,44.0
558,3.7,0.0,1016.9,41.0
559,4.0,0.0,1017.8,41.0
560,4.2,0.0,1018.7,42.0
561,4.8,0.0,1019.4,47.0
562,5.4,0.0,1019.4,44.0
563,6.3,0.0,1019.0,39.0
564,7.0,0.0,1018.4,38.0
565,7.1,0.0,1018.3,39.0
566,7.4,0.0,1018.0,39.0
567,7.6,0.0,1018.3,41.0
568,7.5,0.0,1018.8,40.0
569,6.7,0.0,1019.2,49.0
570,5.8,0.0,1019.7,49.0
571,4.6,0.0,1019.8,54.0
572,4.2,0.0,1020.3,59.0
573,4.3,0.0,1019.8,56.0
574,3.6,0.0,1020.5,60.0
575,2.9,0.0,1020.9,63.0
576,3.2,0.0,1020.5,66.0
577,3.3,0.0,1020.5,66.0
578,2.7,0.0,1021.3,71.0
579,2.3,0.0,1021.9,72.0
580,2.5,0.0,1022.2,66.0
581,1.8,0.0,1022.8,70.0
582,1.6,0.0,1023.6,67.0
583,1.4,0.0,1024.7,65.0
584,2.3,0.0,1025.3,67.0
585,4.9,0.0,1025.9,53.0
586,7.9,0.0,1025.9,47.0
587,9.4,0.0,1025.3,49.0
588,10.9,0.0,1024.8,46.0
589,11.9,0.0,1023.3,44.0
590,11.6,0.0,1023.5,46.0
591,11.0,0.0,1024.0,46.0
592,10.9,0.0,1024.3,44.0
593,10.6,0.0,1024.7,48.0
594,9.9,0.0,1025.5,61.0
595,9.1,0.0,1025.5,65.0
596,8.5,0.0,1025.7,64.0
597,8.5,0.0,1025.6,66.0
598,8.4,0.0,1025.9,66.0
599,8.4,0.0,1025.6,66.0
600,8.1,0.0,1025.1,68.0
601,7.1,0.0,1024.8,75.0
602,6.2,0.0,1024.7,85.0
603,5.9,0.0,1023.8,90.0
604,5.9,0.0,1023.4,87.0
605,6.2,0.0,1022.8,79.0
606,6.3,0.0,1022.9,77.0
607,6.4,0.0,1022.7,75.0
608,7.1,0.0,1022.9,69.0
609,7.5,0.0,1022.6,66.0
610,9.3,0.0,1021.9,64.0
611,10.8,0.0,1020.8,60.0
612,11.4,0.0,1019.2,56.0
613,11.8,0.0,1017.5,55.0
614,11.7,0.0,1017.1,61.0
615,12.0,0.0,1016.2,61.0
616,11.9,0.0,1016.1,70.0
617,10.7,0.0,1015.9,78.0
618,10.1,0.0,1015.9,82.0
619,10.4,0.0,1015.8,84.0
620,10.7,0.0,1015.3,80.0
621,10.4,0.0,1015.0,80.0
622,9.5,0.0,1014.2,80.0
623,8.9,0.0,1013.9,80.0
624,8.1,0.5,1012.8,90.0
625,8.0,0.0,1012.3,90.0
626,7.6,1.5,1011.8,92.0
627,7.3,1.5,1010.3,96.0
628,7.2,1.0,1009.3,96.0
629,7.1,1.0,1008.5,96.0
630,7.0,3.5,1007.7,96.0
631,7.0,4.5,1007.2,97.0
632,7.0,1.5,1007.3,97.0
633,7.8,0.0,1006.6,94.0
634,10.2,0.0,1006.0,82.0
635,12.0,0.0,1005.6,68.0
636,13.9,0.0,1004.3,62.0
637,15.1,0.0,1003.3,55.0
638,15.4,0.0,1003.6,52.0
639,14.2,0.0,1004.3,46.0
640,13.5,0.0,1004.7,47.0
641,12.8,0.0,1005.0,43.0
642,11.8,0.0,1005.7,44.0
643,10.8,0.0,1006.0,45.0
644,10.6,0.0,1006.4,42.0
645,9.6,0.0,1006.7,45.0
646,7.1,0.0,1007.7,71.0
647,5.9,0.0,1008.5,76.0
648,5.9,0.0,1008.6,71.0
649,6.5,0.0,1008.5,64.0
650,6.6,0.0,1009.1,56.0
651,6.2,0.0,1009.3,52.0
652,5.5,0.0,1010.3,69.0
653,3.4,0.0,1011.1,79.0
654,4.5,0.0,1012.0,57.0
655,4.4,0.0,1012.7,46.0
656,4.6,0.0,1013.9,64.0
657,4.7,0.0,1014.3,40.0
658,6.3,0.0,1014.8,33.0
659,7.6,0.0,1014.3,29.0
660,8.3,0.0,1013.5,26.0
661,9.3,0.0,1013.2,29.0
662,8.6,0.0,1013.5,27.0
663,7.8,0.0,1014.1,21.0
664,6.5,0.0,1015.0,25.0
665,5.3,0.0,1016.1,29.0
666,4.3,0.0,1017.6,31.0
667,3.6,0.0,1018.8,32.0
668,2.9,0.0,1019.0,35.0
669,2.5,0.0,1019.7,37.0
670,2.2,0.0,1020.6,37.0
671,2.1,0.0,1020.9,38.0
672,1.7,0.0,1021.2,39.0
673,1.2,0.0,1021.2,42.0
674,1.4,0.0,1021.3,42.0
675,1.0,0.0,1021.7,42.0
676,0.8,0.0,1021.9,43.0
677,0.0,0.0,1022.7,47.0
678,0.0,0.0,1023.3,48.0
679,-0.2,0.0,1024.7,49.0
680,1.3,0.0,1025.4,43.0
681,2.9,0.0,1025.5,35.0
682,4.7,0.0,1025.2,33.0
683,6.0,0.0,1024.6,30.0
684,6.3,0.0,1023.4,27.0
685,7.0,0.0,1023.0,22.0
686,6.6,0.0,1022.4,30.0
687,6.6,0.0,1022.6,28.0
688,6.3,0.0,1023.1,32.0
689,5.9,0.0,1023.8,41.0
690,5.3,0.0,1023.7,45.0
691,5.4,0.0,1023.3,57.0
692,5.4,0.0,1024.6,53.0
693,4.7,0.0,1024.4,56.0
694,5.2,0.0,1023.7,52.0
695,4.4,0.0,1023.6,57.0
696,4.4,0.0,1022.3,57.0
697,4.3,0.0,1022.2,56.0
698,4.4,0.0,1022.1,57.0
699,3.9,0.0,1021.5,61.0
700,2.1,0.0,1021.3,83.0
701,1.2,0.5,1020.9,92.0
702,0.9,1.0,1020.9,94.0
703,0.7,1.0,1020.5,95.0
704,0.6,1.5,1020.3,95.0
705,0.5,2.0,1019.2,95.0
706,0.7,2.0,1018.5,95.0
707,0.6,3.5,1016.8,95.0
708,0.9,2.5,1015.2,95.0
709,1.2,1.5,1012.5,94.0
710,1.2,0.0,1011.4,94.0
711,1.6,0.0,1010.6,94.0
712,1.9,0.5,1009.5,94.0
713,2.2,0.5,1008.4,95.0
714,2.5,0.0,1007.8,94.0
715,3.0,0.0,1007.2,93.0
716,3.4,0.0,1006.4,93.0
717,3.2,0.0,1005.9,92.0
718,3.4,0.0,1005.2,90.0
719,3.8,0.0,1005.1,89.0
720,3.9,0.0,1004.7,85.0
721,3.1,0.0,1004.4,90.0
722,2.3,0.0,1004.6,95.0
723,1.2,0.0,1004.7,96.0
724,1.2,0.0,1005.0,96.0
725,2.3,0.0,1005.1,96.0
726,1.5,0.0,1005.7,96.0
727,2.9,0.0,1007.2,87.0
728,4.6,0.0,1008.0,69.0
729,6.9,0.0,1008.2,49.0
730,7.8,0.0,1008.6,42.0
731,8.7,0.0,1008.5,39.0
732,10.0,0.0,1007.5,22.0
733,10.1,0.0,1007.2,22.0
734,10.0,0.0,1007.8,20.0
735,9.3,0.0,1008.4,23.0
