,気温(℃),降水量(mm),現地気圧(hPa),相対湿度(％)
104,4.1,0.0,1013.3,40.0
105,4.4,0.0,1013.9,38.0
106,5.4,0.0,1013.8,36.0
107,6.0,0.0,1013.3,33.0
108,6.1,0.0,1012.4,33.0
109,6.7,0.0,1011.8,32.0
110,6.8,0.0,1012.0,31.0
111,7.0,0.0,1012.3,31.0
112,6.9,0.0,1013.1,32.0
113,6.8,0.0,1013.4,31.0
114,6.7,0.0,1013.9,34.0
115,6.3,0.0,1014.2,36.0
116,6.2,0.0,1014.6,38.0
117,6.2,0.0,1014.8,36.0
118,5.4,0.0,1014.4,41.0
119,5.4,0.0,1014.7,42.0
120,4.2,0.0,1014.9,45.0
121,3.7,0.0,1015.4,42.0
122,4.1,0.0,1015.6,40.0
123,3.5,0.0,1015.3,44.0
124,3.1,0.0,1015.1,45.0
125,2.5,0.0,1015.3,50.0
126,2.4,0.0,1015.7,49.0
127,2.6,0.0,1016.1,48.0
128,3.1,0.0,1016.9,45.0
129,3.9,0.0,1017.3,44.0
130,5.9,0.0,1017.5,32.0
131,8.0,0.0,1016.9,25.0
132,8.8,0.0,1015.9,26.0
133,9.9,0.0,1015.3,20.0
134,9.5,0.0,1015.9,22.0
135,8.7,0.0,1016.9,26.0
136,7.8,0.0,1017.4,28.0
137,6.6,0.0,1018.0,33.0
138,5.7,0.0,1019.4,36.0
139,5.0,0.0,1020.0,39.0
140,4.6,0.0,1020.8,40.0
141,4.1,0.0,1021.0,42.0
142,4.4,0.0,1021.3,38.0
143,4.2,0.0,1021.3,38.0
144,3.9,0.0,1021.3,39.0
145,3.8,0.0,1021.8,39.0
146,3.4,0.0,1022.3,43.0
147,2.7,0.0,1022.3,46.0
148,2.2,0.0,1022.3,50.0
149,2.1,0.0,1022.6,49.0
150,2.1,0.0,1023.3,49.0
151,1.9,0.0,1023.9,50.0
152,2.1,0.0,1024.4,49.0
153,2.3,0.0,1025.1,47.0
154,3.4,0.0,1024.9,43.0
155,5.1,0.0,1023.8,37.0
156,7.3,0.0,1021.9,34.0
157,7.8,0.0,1020.8,36.0
158,8.7,0.0,1020.3,38.0
159,8.8,0.0,1020.2,45.0
160,9.1,0.0,1020.2,54.0
161,9.3,0.0,1020.0,58.0
162,9.6,0.0,1019.9,60.0
163,8.6,0.0,1019.9,50.0
164,7.6,0.0,1019.9,46.0
165,6.6,0.0,1019.8,44.0
166,6.1,0.0,1018.8,44.0
167,5.7,0.0,1018.9,45.0
168,5.3,0.0,1018.1,45.0
169,4.9,0.0,1017.4,45.0
170,4.8,0.0,1017.4,43.0
171,4.8,0.0,1017.1,40.0
172,4.5,0.0,1016.6,41.0
173,4.2,0.0,1016.0,45.0
174,4.0,0.0,1016.0,49.0
175,4.0,0.0,1015.4,50.0
176,4.9,0.0,1015.3,47.0
177,5.1,0.0,1015.3,45.0
178,6.2,0.0,1014.2,45.0
179,8.4,0.0,1012.8,42.0
180,9.8,0.0,1011.2,42.0
181,10.1,0.0,1009.9,42.0
182,10.5,0.0,1009.0,45.0
183,10.6,0.0,1008.7,47.0
184,11.3,0.0,1008.2,60.0
185,12.0,0.0,1007.6,76.0
186,10.9,0.5,1006.7,86.0
187,9.5,1.0,1006.1,86.0
188,7.7,2.0,1005.5,86.0
189,7.0,2.0,1004.1,90.0
190,6.7,3.5,1002.8,92.0
191,6.1,4.0,1001.6,91.0
192,6.2,2.5,999.7,91.0
193,6.2,1.0,998.8,90.0
194,6.5,1.0,998.5,90.0
195,6.5,0.5,997.4,88.0
196,6.3,0.5,997.2,89.0
197,6.2,0.5,997.2,91.0
198,6.1,0.5,997.9,92.0
199,6.2,0.0,999.3,92.0
200,6.8,0.0,1000.3,89.0
201,7.1,0.0,1001.4,86.0
202,8.0,0.0,1002.0,79.0
203,8.9,0.0,1002.0,70.0
204,10.9,0.0,1001.9,38.0
205,10.9,0.0,1001.7,38.0
206,10.7,0.0,1002.7,34.0
207,10.0,0.0,1003.6,53.0
208,10.5,0.0,1004.4,38.0
209,8.9,0.0,1005.4,33.0
210,8.0,0.0,1006.7,32.0
211,6.7,0.0,1008.1,30.0
212,5.7,0.0,1009.4,32.0
213,4.8,0.0,1010.9,31.0
214,3.9,0.0,1011.2,32.0
215,3.6,0.0,1011.5,33.0
216,3.1,0.0,1011.5,34.0
217,2.8,0.0,1011.8,37.0
218,2.4,0.0,1012.4,38.0
219,2.0,0.0,1012.5,39.0
220,1.8,0.0,1012.7,38.0
221,2.0,0.0,1013.7,34.0
222,1.5,0.0,1014.5,35.0
223,1.6,0.0,1015.3,32.0
224,1.9,0.0,1016.3,31.0
225,2.4,0.0,1017.1,29.0
226,3.3,0.0,1017.2,25.0
227,4.2,0.0,1016.6,22.0
228,5.1,0.0,1015.8,21.0
229,6.6,0.0,1014.9,19.0
230,5.9,0.0,1014.9,17.0
231,5.9,0.0,1015.4,19.0
232,5.8,0.0,1016.3,20.0
233,5.5,0.0,1016.9,22.0
234,5.5,0.0,1017.3,24.0
235,4.7,0.0,1017.8,29.0
236,5.1,0.0,1018.2,27.0
237,4.3,0.0,1018.9,28.0
238,3.2,0.0,1019.1,37.0
239,2.0,0.0,1018.8,44.0
240,1.4,0.0,1018.5,50.0
241,2.2,0.0,1018.8,45.0
242,1.3,0.0,1019.1,52.0
243,1.2,0.0,1019.1,63.0
244,1.7,0.0,1019.2,59.0
245,0.9,0.0,1019.3,62.0
246,2.0,0.0,1019.9,52.0
247,1.3,0.0,1020.1,50.0
248,1.4,0.0,1020.5,50.0
249,1.9,0.0,1021.1,46.0
250,2.7,0.0,1021.0,45.0
251,5.3,0.0,1020.1,37.0
252,6.8,0.0,1019.1,33.0
253,7.8,0.0,1018.4,28.0
254,8.1,0.0,1018.1,29.0
255,8.0,0.0,1018.3,31.0
256,7.8,0.0,1018.7,37.0
257,7.6,0.0,1019.4,39.0
258,6.1,0.0,1020.0,46.0
259,5.1,0.0,1020.6,50.0
260,4.9,0.0,1020.6,53.0
261,5.1,0.0,1020.8,55.0
262,5.8,0.0,1020.8,48.0
263,4.8,0.0,1020.6,51.0
264,3.7,0.0,1020.1,53.0
265,3.3,0.0,1020.0,55.0
266,2.9,0.0,1019.7,53.0
267,2.5,0.0,1019.4,56.0
268,2.2,0.0,1018.6,52.0
269,2.2,0.0,1017.8,50.0
270,1.8,0.0,1018.3,56.0
271,1.8,0.0,1018.5,58.0
272,1.5,0.0,1018.5,60.0
273,2.4,0.0,1017.7,55.0
274,4.3,0.0,1016.9,50.0
275,5.6,0.0,1015.1,45.0
276,7.6,0.0,1013.0,40.0
277,9.1,0.0,1012.1,41.0
278,8.7,0.0,1010.9,45.0
279,8.6,0.0,1010.8,48.0
280,9.1,0.0,1010.5,51.0
281,9.1,0.0,1010.1,48.0
282,8.8,0.0,1009.5,48.0
283,7.8,0.0,1009.8,53.0
284,6.1,0.0,1009.9,60.0
285,7.2,0.0,1010.0,56.0
286,4.9,0.0,1010.6,68.0
287,5.9,0.0,1010.8,52.0
288,4.4,0.0,1010.4,58.0
289,4.6,0.0,1010.3,59.0
290,5.4,0.0,1010.9,54.0
291,4.8,0.0,1011.6,55.0
292,5.2,0.0,1011.8,46.0
293,5.0,0.0,1012.6,47.0
294,4.6,0.0,1013.4,45.0
295,4.2,0.0,1014.1,44.0
296,4.2,0.0,1015.1,41.0
297,4.9,0.0,1016.0,36.0
298,5.1,0.0,1015.8,32.0
299,6.2,0.0,1015.7,29.0
300,7.0,0.0,1015.1,29.0
301,7.8,0.0,1014.7,27.0
302,7.6,0.0,1015.3,25.0
303,7.2,0.0,1015.7,25.0
304,6.7,0.0,1016.3,25.0
305,5.9,0.0,1017.1,26.0
306,5.3,0.0,1018.0,26.0
307,4.5,0.0,1018.5,26.0
308,4.1,0.0,1018.9,27.0
309,3.3,0.0,1019.5,28.0
310,2.9,0.0,1019.8,31.0
311,2.8,0.0,1019.9,29.0
312,2.4,0.0,1020.0,31.0
313,2.3,0.0,1020.0,30.0
314,2.1,0.0,1020.3,31.0
315,1.8,0.0,1020.5,33.0
316,1.9,0.0,1020.6,34.0
317,2.0,0.0,1021.2,32.0
318,2.0,0.0,1021.8,31.0
319,2.2,0.0,1022.3,30.0
320,2.4,0.0,1022.8,30.0
321,3.1,0.0,1023.6,30.0
322,4.2,0.0,1023.2,30.0
323,5.1,0.0,1022.2,27.0
324,5.8,0.0,1021.6,25.0
325,6.6,0.0,1021.1,25.0
326,7.1,0.0,1021.1,24.0
327,7.2,0.0,1021.4,26.0
328,7.0,0.0,1021.9,24.0
329,6.9,0.0,1022.5,27.0
330,6.7,0.0,1023.1,28.0
331,6.3,0.0,1023.3,30.0
332,5.8,0.0,1023.7,32.0
333,4.2,0.0,1023.8,36.0
334,3.2,0.0,1023.5,39.0
335,3.0,0.0,1023.8,42.0
336,3.0,0.0,1023.5,43.0
337,2.7,0.0,1023.5,41.0
338,2.6,0.0,1023.7,40.0
339,2.1,0.0,1023.3,45.0
340,2.1,0.0,1022.8,43.0
341,2.1,0.0,1022.7,42.0
342,1.9,0.0,1022.5,43.0
343,2.1,0.0,1022.5,40.0
344,2.0,0.0,1022.9,43.0
345,2.4,0.0,1023.1,44.0
346,2.7,0.0,1022.9,45.0
347,2.6,0.0,1022.2,44.0
348,2.9,0.0,1021.5,44.0
349,3.5,0.0,1020.7,44.0
350,3.6,0.0,1019.7,42.0
351,4.3,0.0,1019.8,44.0
352,4.2,0.0,1019.3,50.0
353,4.1,0.0,1020.0,46.0
354,4.2,0.0,1020.4,44.0
355,4.2,0.0,1020.2,43.0
356,4.0,0.0,1020.4,44.0
357,3.4,0.0,1020.0,45.0
358,3.5,0.0,1019.9,46.0
359,3.0,0.0,1019.9,49.0
360,2.6,0.0,1020.0,50.0
361,2.1,0.0,1019.8,50.0
362,2.0,0.0,1019.7,52.0
363,1.1,0.0,1019.6,58.0
364,1.0,0.0,1019.2,59.0
365,1.4,0.0,1019.0,57.0
366,1.1,0.0,1019.2,57.0
367,0.7,0.0,1019.6,55.0
368,1.6,0.0,1020.1,52.0
369,2.7,0.0,1020.5,46.0
370,4.0,0.0,1020.4,40.0
371,5.8,0.0,1019.2,36.0
372,7.0,0.0,1017.7,31.0
373,8.6,0.0,1016.5,28.0
374,8.3,0.0,1016.1,35.0
375,7.7,0.0,1016.1,34.0
376,7.8,0.0,1016.4,38.0
377,7.4,0.0,1016.6,35.0
378,7.2,0.0,1016.8,41.0
379,6.8,0.0,1017.0,43.0
380,6.7,0.0,1017.0,48.0
381,6.7,0.0,1017.1,52.0
382,6.5,0.0,1017.1,56.0
383,4.2,0.0,1016.7,66.0
384,5.6,0.0,1016.1,50.0
385,5.3,0.0,1015.6,50.0
386,4.5,0.0,1015.8,50.0
387,3.7,0.0,1015.3,53.0
388,3.3,0.0,1014.8,54.0
389,3.1,0.0,1014.5,52.0
390,3.4,0.0,1014.5,54.0
391,3.6,0.0,1014.4,52.0
392,3.9,0.0,1014.7,51.0
393,4.6,0.0,1015.4,47.0
394,5.7,0.0,1015.4,42.0
395,6.6,0.0,1014.7,39.0
396,7.8,0.0,1013.7,39.0
397,8.7,0.0,1013.3,34.0
398,8.9,0.0,1013.0,32.0
399,9.2,0.0,1013.2,31.0
400,9.1,0.0,1013.8,31.0
401,8.4,0.0,1014.6,30.0
402,7.5,0.0,1015.1,28.0
403,6.7,0.0,1015.3,28.0
404,5.9,0.0,1015.4,31.0
405,5.2,0.0,1015.6,35.0
406,5.0,0.0,1015.4,38.0
407,4.5,0.0,1015.4,41.0
408,3.5,0.0,1015.4,46.0
409,3.5,0.0,1015.3,49.0
410,3.7,0.0,1015.5,47.0
411,3.4,0.0,1015.3,48.0
412,3.3,0.0,1014.7,48.0
413,3.4,0.0,1014.3,48.0
414,3.5,0.0,1014.2,46.0
415,3.1,0.0,1014.5,46.0
416,3.2,0.0,1014.6,46.0
417,3.2,0.0,1014.4,45.0
418,3.4,0.0,1013.8,44.0
419,4.5,0.0,1013.0,42.0
420,6.2,0.0,1011.4,36.0
421,7.5,0.0,1010.3,33.0
422,7.5,0.0,1009.5,28.0
423,7.8,0.0,1009.2,28.0
424,7.4,0.0,1008.7,29.0
425,6.8,0.0,1008.8,36.0
426,6.9,0.0,1009.0,39.0
427,6.5,0.0,1008.7,40.0
428,6.0,0.0,1008.5,63.0
429,6.1,0.0,1008.3,61.0
430,6.2,0.0,1008.1,55.0
431,5.9,0.0,1007.5,55.0
432,5.7,0.0,1007.0,55.0
433,5.7,0.0,1007.4,55.0
434,3.8,0.0,1008.3,60.0
435,2.9,0.0,1009.1,68.0
436,2.3,0.0,1009.3,82.0
437,2.1,0.0,1009.4,81.0
438,2.4,0.0,1009.9,72.0
439,3.3,0.0,1010.7,45.0
440,3.2,0.0,1011.2,42.0
441,3.9,0.0,1012.2,34.0
442,4.5,0.0,1012.9,31.0
443,5.4,0.0,1013.5,31.0
444,6.1,0.0,1012.7,30.0
445,6.7,0.0,1013.0,25.0
446,6.6,0.0,1013.7,24.0
447,5.8,0.0,1014.9,25.0
448,5.4,0.0,1015.9,29.0
449,4.8,0.0,1016.8,33.0
450,4.3,0.0,1016.8,26.0
451,3.5,0.0,1017.1,32.0
452,3.3,0.0,1018.7,32.0
453,3.2,0.0,1017.9,30.0
454,3.5,0.0,1018.0,27.0
455,3.7,0.0,1017.8,26.0
456,3.5,0.0,1018.5,27.0
457,3.1,0.0,1019.1,28.0
458,3.1,0.0,1019.4,30.0
459,3.1,0.0,1019.3,31.0
460,2.7,0.0,1018.6,32.0
461,2.5,0.0,1018.4,35.0
462,1.3,0.0,1018.6,41.0
463,1.9,0.0,1018.8,41.0
464,1.9,0.0,1018.3,39.0
465,3.0,0.0,1018.3,37.0
466,3.6,0.0,1017.8,37.0
467,4.8,0.0,1016.7,35.0
468,6.5,0.0,1014.8,35.0
469,7.5,0.0,1013.2,38.0
470,7.7,0.0,1012.6,40.0
471,7.7,0.0,1012.1,44.0
472,8.0,0.0,1011.6,47.0
473,7.7,0.0,1010.9,52.0
474,7.7,0.0,1010.8,47.0
475,7.1,0.0,1010.2,49.0
476,6.5,0.0,1009.7,51.0
477,5.2,0.0,1009.2,51.0
478,4.4,0.0,1008.7,53.0
479,4.5,0.0,1007.6,55.0
480,4.4,0.0,1006.5,50.0
481,3.9,0.0,1006.3,51.0
482,3.8,0.0,1005.7,49.0
483,3.4,0.0,1005.2,50.0
484,3.4,0.0,1004.6,47.0
485,2.0,0.0,1004.4,59.0
486,2.8,0.0,1004.9,51.0
487,2.2,0.0,1005.4,53.0
488,2.9,0.0,1005.8,51.0
489,4.2,0.0,1006.7,49.0
490,5.5,0.0,1007.0,46.0
491,8.3,0.0,1006.3,41.0
492,10.4,0.0,1005.7,33.0
493,11.4,0.0,1005.4,34.0
494,11.5,0.0,1005.4,33.0
495,11.0,0.0,1005.7,25.0
496,10.7,0.0,1006.1,38.0
497,9.8,0.0,1006.8,36.0
498,9.6,0.0,1007.4,38.0
499,9.3,0.0,1008.0,41.0
500,7.4,0.0,1008.7,59.0
501,5.4,0.0,1009.6,73.0
502,4.9,0.0,1010.2,72.0
503,3.7,0.5,1010.4,83.0
504,3.3,1.5,1010.8,88.0
505,2.2,1.5,1011.2,88.0
506,2.9,0.0,1011.1,83.0
507,3.4,0.0,1010.9,78.0
508,3.7,0.0,1011.2,70.0
509,3.3,0.0,1011.5,75.0
510,3.1,0.0,1011.8,77.0
511,3.3,0.0,1012.5,74.0
512,3.7,0.0,1013.0,70.0
513,4.2,0.0,1014.0,62.0
514,5.0,0.0,1014.1,51.0
515,6.7,0.0,1013.7,41.0
516,7.4,0.0,1012.8,37.0
517,8.4,0.0,1012.0,32.0
518,9.5,0.0,1011.4,34.0
519,8.5,0.0,1011.7,32.0
520,8.0,0.0,1012.3,36.0
521,7.9,0.0,1013.2,39.0
522,7.2,0.0,1014.0,32.0
523,6.9,0.0,1014.5,29.0
524,6.3,0.0,1014.9,37.0
525,5.5,0.0,1015.2,39.0
526,4.9,0.0,1015.7,35.0
527,4.7,0.0,1015.7,38.0
528,4.3,0.0,1015.4,40.0
529,3.7,0.0,1015.1,42.0
530,3.1,0.0,1015.7,45.0
531,3.3,0.0,1016.0,42.0
532,4.6,0.0,1016.3,32.0
533,4.0,0.0,1016.4,35.0
534,3.5,0.0,1016.4,37.0
535,4.1,0.0,1016.8,35.0
536,3.5,0.0,1017.0,39.0
537,5.0,0.0,1017.4,35.0
538,6.4,0.0,1017.6,30.0
539,7.7,0.0,1017.4,30.0
540,8.5,0.0,1017.0,29.0
541,10.0,0.0,1016.7,26.0
542,10.2,0.0,1016.6,24.0
543,10.4,0.0,1017.1,27.0
544,9.5,0.0,1017.8,32.0
545,9.2,0.0,1018.7,37.0
546,9.2,0.0,1019.4,45.0
547,8.3,0.0,1019.9,32.0
548,7.2,0.0,1020.5,35.0
549,6.5,0.0,1020.9,36.0
550,6.0,0.0,1021.1,37.0
551,5.8,0.0,1021.2,37.0
552,5.4,0.0,1020.9,40.0
553,5.3,0.0,1021.3,41.0
554,4.8,0.0,1021.0,41.0
555,4.4,0.0,1020.6,45.0
556,3.4,0.0,1020.2,49.0
557,3.1,0.0,1020.5,51.0
558,2.8,0.0,1020.6,55.0
559,2.5,0.0,1020.6,53.0
560,3.1,0.0,1020.7,49.0
561,3.9,0.0,1020.8,46.0
562,5.2,0.0,1020.3,46.0
563,6.6,0.0,1019.2,44.0
564,10.1,0.0,1017.7,46.0
565,10.7,0.0,1016.1,44.0
566,10.9,0.0,1014.9,46.0
567,12.3,0.0,1015.0,43.0
568,12.4,0.0,1014.9,45.0
569,12.3,0.0,1015.0,46.0
570,11.8,0.0,1015.5,48.0
571,10.5,0.0,1015.8,49.0
572,8.9,0.0,1016.0,50.0
573,8.4,0.0,1016.0,50.0
574,6.2,0.0,1015.8,61.0
575,6.3,0.0,1015.9,61.0
576,6.0,0.0,1015.4,58.0
577,4.8,0.0,1015.5,64.0
578,6.0,0.0,1015.4,53.0
579,5.3,0.0,1014.8,56.0
580,6.0,0.0,1014.2,49.0
581,3.6,0.0,1014.1,64.0
582,3.3,0.0,1014.3,70.0
583,4.2,0.0,1014.7,66.0
584,5.9,0.0,1014.8,61.0
585,7.4,0.0,1014.7,53.0
586,7.9,0.0,1014.8,54.0
587,9.8,0.0,1014.0,48.0
588,11.3,0.0,1012.7,43.0
589,11.4,0.0,1011.5,46.0
590,11.2,0.0,1011.0,50.0
591,11.6,0.0,1010.9,48.0
592,11.3,0.0,1010.9,48.0
593,11.1,0.0,1011.1,49.0
594,11.1,0.0,1011.2,47.0
595,10.1,0.0,1011.3,50.0
596,9.2,0.0,1010.7,54.0
597,8.3,0.0,1009.7,56.0
598,7.3,0.0,1009.5,63.0
599,10.4,0.0,1007.8,52.0
600,12.4,0.0,1006.9,56.0
601,12.5,0.0,1006.3,65.0
602,9.0,0.0,1006.2,62.0
603,8.7,0.0,1005.5,69.0
604,12.1,0.0,1003.8,83.0
605,12.6,0.0,1003.2,76.0
606,12.7,0.0,1003.4,74.0
607,12.2,0.0,1003.3,75.0
608,12.7,0.0,1003.1,75.0
609,9.6,0.0,1003.4,68.0
610,10.9,0.0,1004.1,56.0
611,12.7,0.0,1003.5,45.0
612,13.7,0.0,1002.5,38.0
613,14.4,0.0,1002.3,35.0
614,13.5,0.0,1002.9,31.0
615,10.8,0.0,1003.9,31.0
616,9.6,0.0,1004.5,32.0
617,8.8,0.0,1005.2,31.0
618,7.1,0.0,1007.5,34.0
619,6.0,0.0,1009.4,34.0
620,5.2,0.0,1010.4,34.0
621,4.1,0.0,1011.2,33.0
622,3.6,0.0,1013.1,29.0
623,3.3,0.0,1014.2,28.0
624,2.4,0.0,1015.0,34.0
625,2.1,0.0,1015.7,34.0
626,2.1,0.0,1015.9,31.0
627,1.8,0.0,1016.5,32.0
628,1.6,0.0,1016.7,32.0
629,1.8,0.0,1017.1,31.0
630,1.9,0.0,1017.9,30.0
631,1.7,0.0,1018.6,32.0
632,2.2,0.0,1019.3,32.0
633,2.6,0.0,1020.2,32.0
634,3.6,0.0,1020.5,31.0
635,4.9,0.0,1020.2,30.0
636,5.1,0.0,1019.5,27.0
637,6.0,0.0,1018.9,27.0
638,7.3,0.0,1018.4,27.0
639,6.4,0.0,1018.5,27.0
640,6.9,0.0,1018.5,24.0
641,6.8,0.0,1018.8,29.0
642,6.4,0.0,1019.4,32.0
643,6.2,0.0,1020.1,34.0
644,6.9,0.0,1020.0,47.0
645,7.0,0.0,1019.9,50.0
646,7.0,0.0,1019.4,56.0
647,7.0,0.0,1019.1,61.0
648,6.0,0.0,1018.5,59.0
649,3.8,0.0,1018.3,53.0
650,2.6,0.0,1017.9,55.0
651,2.1,0.0,1017.3,59.0
652,2.7,0.0,1016.9,50.0
653,2.5,0.0,1016.2,46.0
654,2.3,0.0,1015.7,45.0
655,1.7,0.0,1015.5,51.0
656,2.8,0.0,1015.4,45.0
657,4.8,0.0,1015.0,41.0
658,7.7,0.0,1013.9,47.0
659,11.3,0.0,1012.2,39.0
660,12.6,0.0,1010.5,37.0
661,14.2,0.0,1009.5,31.0
662,14.5,0.0,1008.7,27.0
663,14.7,0.0,1008.3,25.0
664,14.8,0.0,1008.4,23.0
665,14.1,0.0,1008.7,22.0
666,13.4,0.0,1008.7,23.0
667,12.8,0.0,1009.4,27.0
668,12.6,0.0,1009.5,30.0
669,11.8,0.0,1010.0,34.0
670,10.8,0.0,1010.3,39.0
671,10.4,0.0,1011.8,39.0
672,9.0,0.0,1012.6,40.0
673,7.9,0.0,1013.1,41.0
674,7.4,0.0,1014.1,39.0
675,7.1,0.0,1014.5,39.0
676,6.7,0.0,1015.3,39.0
677,6.0,0.0,1015.7,39.0
678,5.5,0.0,1016.8,38.0
679,5.3,0.0,1017.8,35.0
680,5.3,0.0,1018.5,34.0
681,6.1,0.0,1019.2,32.0
682,6.9,0.0,1019.4,30.0
683,9.1,0.0,1019.0,28.0
684,10.3,0.0,1018.2,26.0
685,10.8,0.0,1017.4,24.0
686,12.1,0.0,1016.9,32.0
687,11.5,0.0,1017.1,39.0
688,11.6,0.0,1017.3,43.0
689,11.3,0.0,1017.9,50.0
690,11.0,0.0,1018.5,58.0
691,10.9,0.0,1018.8,59.0
692,11.0,0.0,1018.9,59.0
693,11.1,0.0,1018.7,61.0
694,10.1,0.0,1018.8,66.0
695,10.3,0.0,1018.5,63.0
696,9.3,0.0,1018.1,62.0
697,7.4,0.0,1017.5,70.0
698,6.9,0.0,1017.8,66.0
699,6.6,0.0,1017.3,55.0
700,5.7,0.0,1016.6,61.0
701,5.4,0.0,1015.8,64.0
702,7.7,0.0,1015.5,62.0
703,7.5,0.0,1015.5,53.0
704,7.6,0.0,1015.1,61.0
705,9.8,0.0,1015.1,61.0
706,13.8,0.0,1014.4,60.0
707,14.3,0.0,1013.4,60.0
708,15.3,0.0,1011.8,56.0
709,14.9,0.0,1010.6,59.0
710,14.5,0.0,1009.4,66.0
711,12.7,1.0,1008.6,84.0
712,12.5,0.5,1007.2,89.0
713,13.1,0.0,1005.1,88.0
714,13.1,0.0,1004.7,87.0
715,12.7,0.0,1004.3,87.0
716,10.4,0.0,1004.3,69.0
717,8.5,0.0,1003.7,77.0
718,7.9,0.0,1002.6,80.0
719,8.1,0.0,1001.3,78.0
720,10.3,0.0,1000.0,73.0
721,12.2,0.0,1000.1,69.0
722,8.8,0.0,1001.0,75.0
723,7.6,0.0,1001.6,76.0
724,9.3,0.0,1003.0,72.0
725,6.5,0.0,1003.8,82.0
726,7.4,0.0,1005.1,72.0
727,8.0,0.0,1006.5,65.0
728,8.4,0.0,1007.8,62.0
729,10.0,0.0,1008.7,48.0
730,11.4,0.0,1009.7,43.0
731,13.6,0.0,1009.6,31.0
732,14.1,0.0,1009.3,26.0
733,14.7,0.0,1009.5,25.0
734,13.8,0.0,1010.4,23.0
