,年月日,平均気温(℃),降水量の合計(mm),平均現地気圧(hPa),平均湿度(％)
44,2015/2/13,5.0,0.0,1000.5,46.0
45,2015/2/14,4.9,0.0,1009.1,29.0
46,2015/2/15,5.5,0.0,1009.9,41.0
47,2015/2/16,7.0,0.0,1011.1,33.0
48,2015/2/17,3.9,3.0,1010.4,77.0
49,2015/2/18,3.3,10.5,1005.6,93.0
50,2015/2/19,6.2,0.0,1008.3,72.0
51,2015/2/20,6.3,0.0,1018.3,66.0
52,2015/2/21,6.2,0.0,1025.0,61.0
53,2015/2/22,6.3,1.5,1020.1,77.0
54,2015/2/23,10.7,16.0,1007.8,84.0
55,2015/2/24,9.7,0.0,1010.2,74.0
56,2015/2/25,9.2,0.0,1016.1,58.0
57,2015/2/26,6.6,14.5,1014.5,85.0
58,2015/2/27,8.2,0.0,1006.1,54.0
59,2015/2/28,7.4,0.0,1021.1,37.0
60,2015/3/1,6.9,29.0,1010.2,79.0
61,2015/3/2,9.3,0.0,1008.2,37.0
62,2015/3/3,5.6,0.5,1016.3,60.0
63,2015/3/4,9.6,18.5,1001.9,71.0
64,2015/3/5,9.3,0.0,1012.6,35.0
65,2015/3/6,7.3,0.0,1021.2,53.0
66,2015/3/7,6.0,4.5,1020.9,82.0
67,2015/3/8,8.2,0.5,1018.8,81.0
68,2015/3/9,9.0,23.0,1010.7,89.0
69,2015/3/10,7.7,2.5,995.3,54.0
70,2015/3/11,6.2,0.0,1005.7,37.0
71,2015/3/12,8.6,0.0,1008.1,34.0
72,2015/3/13,8.9,0.0,1013.0,35.0
73,2015/3/14,8.9,0.0,1016.8,45.0
74,2015/3/15,8.4,0.0,1021.9,63.0
75,2015/3/16,11.1,10.0,1020.0,74.0
76,2015/3/17,14.5,0.5,1015.5,76.0
77,2015/3/18,14.8,0.0,1014.8,74.0
78,2015/3/19,11.9,5.0,1006.5,90.0
79,2015/3/20,11.8,0.0,1011.1,77.0
80,2015/3/21,10.5,0.0,1013.5,57.0
81,2015/3/22,12.9,0.0,1009.7,61.0
82,2015/3/23,10.7,0.0,1009.0,43.0
83,2015/3/24,8.2,0.0,1015.8,33.0
84,2015/3/25,8.1,0.0,1023.2,35.0
85,2015/3/26,9.5,0.0,1026.5,35.0
86,2015/3/27,12.3,0.0,1020.8,38.0
87,2015/3/28,14.1,0.0,1015.2,46.0
88,2015/3/29,14.6,0.0,1011.3,58.0
89,2015/3/30,16.2,0.0,1014.9,54.0
90,2015/3/31,16.7,0.0,1015.0,58.0
1,2015/4/1,13.9,1.5,1008.0,76.0
2,2015/4/2,11.6,0.0,1016.3,64.0
3,2015/4/3,17.3,0.0,1006.7,79.0
4,2015/4/4,13.2,0.0,1016.0,66.0
5,2015/4/5,10.3,8.0,1013.9,89.0
6,2015/4/6,16.2,0.0,1008.6,75.0
7,2015/4/7,10.0,4.5,1014.0,91.0
8,2015/4/8,4.1,20.0,1022.4,89.0
9,2015/4/9,7.4,0.0,1025.4,61.0
10,2015/4/10,8.3,9.5,1022.1,75.0
11,2015/4/11,11.5,7.5,1018.5,86.0
12,2015/4/12,12.9,0.0,1026.8,61.0
13,2015/4/13,9.7,36.5,1021.3,89.0
14,2015/4/14,12.1,22.5,1007.7,96.0
15,2015/4/15,15.4,2.0,1000.3,64.0
16,2015/4/16,15.7,0.0,1007.4,58.0
17,2015/4/17,16.4,3.5,1007.4,64.0
18,2015/4/18,14.0,0.0,1014.2,58.0
19,2015/4/19,14.3,0.0,1013.9,69.0
20,2015/4/20,18.4,10.5,1004.9,89.0
21,2015/4/21,17.5,0.5,1004.7,76.0
22,2015/4/22,15.7,2.5,1015.7,62.0
23,2015/4/23,18.0,0.0,1016.8,66.0
24,2015/4/24,18.3,0.0,1015.1,70.0
25,2015/4/25,17.2,0.0,1014.6,53.0
26,2015/4/26,17.8,0.0,1017.0,50.0
27,2015/4/27,19.3,0.0,1014.8,68.0
28,2015/4/28,20.8,0.0,1014.6,66.0
29,2015/4/29,19.4,0.0,1013.7,65.0
30,2015/4/30,19.0,0.0,1012.9,65.0
31,2015/5/1,20.5,0.0,1011.8,63.0
32,2015/5/2,21.0,0.0,1013.5,66.0
33,2015/5/3,21.2,0.0,1011.0,62.0
34,2015/5/4,21.6,0.0,1002.4,68.0
35,2015/5/5,18.3,0.0,1005.3,42.0
36,2015/5/6,18.2,0.0,1010.0,47.0
37,2015/5/7,19.1,0.0,1008.6,62.0
38,2015/5/8,20.7,0.0,1008.9,61.0
39,2015/5/9,18.7,0.0,1008.2,75.0
40,2015/5/10,19.7,0.0,1009.2,43.0
41,2015/5/11,17.2,0.0,1019.0,35.0
42,2015/5/12,19.6,58.5,1008.2,73.0
43,2015/5/13,22.5,0.0,1000.7,54.0
44,2015/5/14,23.1,0.0,1007.0,46.0
45,2015/5/15,22.7,0.0,1007.3,59.0
46,2015/5/16,20.9,3.5,1000.6,84.0
47,2015/5/17,22.2,0.0,1006.8,63.0
48,2015/5/18,21.5,3.5,1009.3,73.0
49,2015/5/19,20.2,4.5,1000.7,90.0
50,2015/5/20,22.2,0.5,998.7,70.0
51,2015/5/21,19.5,8.5,1004.1,55.0
52,2015/5/22,20.5,0.0,1010.5,59.0
53,2015/5/23,21.6,0.0,1009.3,57.0
54,2015/5/24,21.0,0.0,1005.9,61.0
55,2015/5/25,21.3,0.0,1007.1,68.0
56,2015/5/26,23.3,0.0,1005.0,53.0
57,2015/5/27,23.9,0.0,1007.2,55.0
58,2015/5/28,22.1,0.0,1011.6,68.0
59,2015/5/29,20.7,9.0,1007.1,83.0
60,2015/5/30,23.4,0.0,998.8,68.0
61,2015/5/31,25.7,0.0,1000.2,59.0
62,2015/6/1,23.6,0.0,1009.2,51.0
63,2015/6/2,23.5,0.0,1008.3,65.0
64,2015/6/3,21.7,16.0,998.1,89.0
65,2015/6/4,23.1,0.0,1001.2,35.0
66,2015/6/5,18.8,27.0,1007.3,65.0
67,2015/6/6,18.0,23.5,1006.1,80.0
68,2015/6/7,20.8,0.0,1016.1,65.0
69,2015/6/8,21.0,0.5,1014.7,69.0
70,2015/6/9,19.5,33.0,1001.3,92.0
71,2015/6/10,22.6,0.0,1005.6,69.0
72,2015/6/11,23.0,0.0,1007.2,71.0
73,2015/6/12,21.4,4.5,1002.4,89.0
74,2015/6/13,24.0,0.0,1006.7,79.0
75,2015/6/14,22.5,1.5,1007.4,83.0
76,2015/6/15,24.6,0.0,1005.4,69.0
77,2015/6/16,23.3,31.0,1002.8,76.0
78,2015/6/17,21.6,11.0,1003.8,88.0
79,2015/6/18,21.9,0.0,1008.3,76.0
80,2015/6/19,19.1,10.5,1005.9,92.0
81,2015/6/20,21.7,0.0,1006.0,69.0
82,2015/6/21,20.6,0.5,1007.8,86.0
83,2015/6/22,22.6,0.0,1009.4,76.0
84,2015/6/23,23.4,20.0,1009.3,77.0
85,2015/6/24,23.8,0.0,1007.7,72.0
86,2015/6/25,24.3,0.0,1005.8,72.0
87,2015/6/26,22.4,13.0,1002.4,86.0
88,2015/6/27,22.6,3.0,994.3,97.0
89,2015/6/28,23.2,0.0,998.4,70.0
90,2015/6/29,21.6,0.0,1007.1,68.0
91,2015/6/30,22.5,0.5,1002.8,75.0
1,2015/7/1,20.5,13.5,992.2,98.0
2,2015/7/2,22.5,2.5,999.1,91.0
3,2015/7/3,21.9,67.5,1003.1,99.0
4,2015/7/4,22.5,4.0,1005.7,96.0
5,2015/7/5,20.1,20.0,1008.6,96.0
6,2015/7/6,19.8,14.5,1010.1,97.0
7,2015/7/7,21.3,0.0,1010.6,91.0
8,2015/7/8,22.4,11.0,1012.1,93.0
9,2015/7/9,19.4,11.0,1013.7,97.0
10,2015/7/10,23.2,0.5,1012.3,80.0
11,2015/7/11,25.9,0.0,1009.8,76.0
12,2015/7/12,27.2,0.0,1006.9,74.0
13,2015/7/13,29.4,0.0,1003.5,67.0
14,2015/7/14,29.9,0.0,1002.8,61.0
15,2015/7/15,28.4,0.0,1005.6,65.0
16,2015/7/16,26.4,63.5,1004.5,90.0
17,2015/7/17,26.7,14.5,1005.1,83.0
18,2015/7/18,27.2,0.5,1006.7,77.0
19,2015/7/19,29.4,0.0,1009.1,69.0
20,2015/7/20,28.8,0.0,1010.6,75.0
21,2015/7/21,29.4,0.0,1009.3,65.0
22,2015/7/22,28.9,0.0,1008.6,61.0
23,2015/7/23,27.0,4.5,1006.9,80.0
24,2015/7/24,28.1,7.0,1007.2,83.0
25,2015/7/25,28.6,0.0,1006.5,80.0
26,2015/7/26,30.3,0.0,1007.3,72.0
27,2015/7/27,30.4,0.0,1004.4,69.0
28,2015/7/28,29.6,0.0,1003.1,72.0
29,2015/7/29,29.4,0.0,1004.8,70.0
30,2015/7/30,29.1,0.0,1006.0,75.0
31,2015/7/31,30.0,0.0,1006.7,72.0
32,2015/8/1,30.5,0.0,1007.6,76.0
33,2015/8/2,30.2,0.0,1009.2,71.0
34,2015/8/3,29.8,0.0,1008.7,69.0
35,2015/8/4,30.0,0.0,1007.4,69.0
36,2015/8/5,30.2,0.0,1007.4,69.0
37,2015/8/6,30.9,0.0,1009.8,68.0
38,2015/8/7,31.5,0.0,1011.6,61.0
39,2015/8/8,27.6,0.0,1011.6,71.0
40,2015/8/9,27.9,0.0,1008.4,68.0
41,2015/8/10,27.9,1.0,1006.0,79.0
42,2015/8/11,29.4,0.0,1003.1,70.0
43,2015/8/12,28.9,0.0,1002.5,73.0
44,2015/8/13,27.5,1.0,1000.4,82.0
45,2015/8/14,26.9,2.0,1000.6,84.0
46,2015/8/15,27.7,0.0,1004.8,76.0
47,2015/8/16,27.8,8.0,1006.7,77.0
48,2015/8/17,25.7,33.5,1005.5,96.0
49,2015/8/18,28.2,0.0,1005.3,76.0
50,2015/8/19,27.8,0.0,1009.7,70.0
51,2015/8/20,25.6,8.0,1007.9,92.0
52,2015/8/21,26.0,2.5,1003.8,88.0
53,2015/8/22,28.3,0.0,999.0,80.0
54,2015/8/23,26.7,0.0,1001.6,75.0
55,2015/8/24,24.3,0.0,1005.3,67.0
56,2015/8/25,21.5,0.5,1008.7,68.0
57,2015/8/26,19.5,35.5,1004.9,99.0
58,2015/8/27,23.6,0.0,1006.5,81.0
59,2015/8/28,21.7,3.0,1009.7,84.0
60,2015/8/29,20.0,2.5,1010.1,98.0
61,2015/8/30,21.2,3.5,1009.8,96.0
62,2015/8/31,22.1,2.5,1012.0,94.0
63,2015/9/1,23.7,12.0,1011.7,96.0
64,2015/9/2,26.9,5.5,1007.4,82.0
65,2015/9/3,25.7,1.5,1008.7,78.0
66,2015/9/4,24.7,14.0,1004.9,88.0
67,2015/9/5,25.4,0.0,1008.0,70.0
68,2015/9/6,23.8,46.5,1005.0,88.0
69,2015/9/7,23.0,19.0,1003.6,98.0
70,2015/9/8,20.0,65.5,1009.7,100.0
71,2015/9/9,22.4,156.5,1005.5,99.0
72,2015/9/10,21.8,50.0,1004.6,99.0
73,2015/9/11,23.9,0.0,1001.8,79.0
74,2015/9/12,24.7,0.0,1006.5,75.0
75,2015/9/13,24.4,0.0,1008.8,76.0
76,2015/9/14,22.9,0.0,1016.8,69.0
77,2015/9/15,22.3,0.0,1018.1,66.0
78,2015/9/16,21.1,4.0,1017.2,74.0
79,2015/9/17,17.9,74.5,1013.3,98.0
80,2015/9/18,20.6,5.5,1007.8,96.0
81,2015/9/19,24.1,0.0,1004.5,73.0
82,2015/9/20,23.3,0.0,1006.6,59.0
83,2015/9/21,22.7,0.0,1010.5,68.0
84,2015/9/22,23.0,0.0,1014.7,62.0
85,2015/9/23,22.4,0.0,1014.0,60.0
86,2015/9/24,20.4,1.0,1009.9,83.0
87,2015/9/25,17.7,43.0,1004.8,98.0
88,2015/9/26,20.5,5.0,1006.4,91.0
89,2015/9/27,21.4,0.0,1009.0,91.0
90,2015/9/28,23.3,0.0,1012.4,73.0
91,2015/9/29,22.7,0.0,1015.7,43.0
92,2015/9/30,20.9,0.0,1018.8,43.0
1,2015/10/1,19.4,7.5,1011.1,79.0
2,2015/10/2,23.2,22.0,1002.1,71.0
3,2015/10/3,21.7,0.0,1011.5,68.0
4,2015/10/4,21.3,0.0,1016.8,65.0
5,2015/10/5,17.9,0.0,1020.3,50.0
6,2015/10/6,17.7,0.0,1016.5,61.0
7,2015/10/7,17.5,0.0,1009.3,49.0
8,2015/10/8,19.4,0.0,999.8,37.0
9,2015/10/9,20.2,0.0,1004.2,49.0
10,2015/10/10,18.3,0.0,1010.3,75.0
11,2015/10/11,18.9,15.0,1007.3,87.0
12,2015/10/12,18.7,0.0,1008.7,72.0
13,2015/10/13,18.8,0.0,1009.5,58.0
14,2015/10/14,18.4,0.0,1014.9,51.0
15,2015/10/15,18.8,0.5,1017.7,62.0
16,2015/10/16,15.6,7.0,1017.2,95.0
17,2015/10/17,17.5,5.0,1016.1,93.0
18,2015/10/18,18.8,0.0,1014.2,78.0
19,2015/10/19,19.0,0.0,1013.9,70.0
20,2015/10/20,19.0,0.0,1012.1,75.0
21,2015/10/21,17.2,0.0,1016.4,71.0
22,2015/10/22,17.4,0.0,1015.8,73.0
23,2015/10/23,17.9,0.0,1017.1,71.0
24,2015/10/24,19.0,0.0,1009.7,73.0
25,2015/10/25,16.1,0.0,1012.8,32.0
26,2015/10/26,15.5,0.0,1018.1,46.0
27,2015/10/27,18.3,0.0,1012.4,67.0
28,2015/10/28,20.8,0.0,1006.3,66.0
29,2015/10/29,17.1,0.0,1013.6,68.0
30,2015/10/30,17.1,0.0,1014.6,60.0
31,2015/10/31,14.4,0.0,1019.9,61.0
32,2015/11/1,13.1,0.0,1023.0,61.0
33,2015/11/2,12.7,38.0,1015.0,90.0
34,2015/11/3,16.2,0.0,1019.8,63.0
35,2015/11/4,14.4,0.0,1028.3,64.0
36,2015/11/5,15.1,0.0,1024.7,70.0
37,2015/11/6,16.4,0.0,1022.2,64.0
38,2015/11/7,16.5,0.0,1024.8,74.0
39,2015/11/8,15.2,14.0,1019.2,93.0
40,2015/11/9,18.2,1.0,1007.9,93.0
41,2015/11/10,16.5,7.5,1011.5,94.0
42,2015/11/11,14.9,0.0,1023.3,58.0
43,2015/11/12,13.4,0.0,1028.6,61.0
44,2015/11/13,13.1,0.0,1027.6,69.0
45,2015/11/14,13.0,17.5,1019.9,92.0
46,2015/11/15,16.0,8.5,1009.2,90.0
47,2015/11/16,17.2,0.0,1017.4,72.0
48,2015/11/17,18.5,3.0,1015.2,82.0
49,2015/11/18,16.7,13.0,1013.3,92.0
50,2015/11/19,14.5,7.0,1015.2,73.0
51,2015/11/20,13.7,0.0,1018.0,76.0
52,2015/11/21,15.5,0.0,1020.5,64.0
53,2015/11/22,13.1,0.0,1025.8,67.0
54,2015/11/23,12.2,0.5,1022.1,84.0
55,2015/11/24,14.3,2.0,1011.9,73.0
56,2015/11/25,8.7,7.0,1015.1,75.0
57,2015/11/26,8.7,20.5,1005.1,91.0
58,2015/11/27,9.9,0.0,1006.8,58.0
59,2015/11/28,9.4,0.0,1017.4,55.0
60,2015/11/29,10.4,0.0,1021.9,58.0
61,2015/11/30,10.0,0.0,1018.7,69.0
62,2015/12/1,10.8,0.0,1019.4,62.0
63,2015/12/2,9.5,1.0,1021.1,68.0
64,2015/12/3,10.5,1.5,1000.8,88.0
65,2015/12/4,9.9,0.0,1002.3,43.0
66,2015/12/5,9.8,0.0,1010.3,56.0
67,2015/12/6,10.6,0.0,1019.7,43.0
68,2015/12/7,9.2,0.0,1024.0,51.0
69,2015/12/8,8.0,0.0,1025.6,60.0
70,2015/12/9,7.5,0.0,1029.9,64.0
71,2015/12/10,8.8,5.5,1024.2,69.0
72,2015/12/11,14.7,64.0,998.4,74.0
73,2015/12/12,12.6,0.0,1017.2,54.0
74,2015/12/13,10.2,1.5,1017.5,81.0
75,2015/12/14,11.6,0.0,1018.1,76.0
76,2015/12/15,11.5,0.0,1013.2,72.0
77,2015/12/16,12.9,0.0,1003.6,75.0
78,2015/12/17,10.1,0.0,1007.8,43.0
79,2015/12/18,7.8,0.0,1019.7,41.0
80,2015/12/19,7.1,0.0,1023.6,44.0
81,2015/12/20,6.9,0.0,1027.3,47.0
82,2015/12/21,8.8,0.0,1018.5,52.0
83,2015/12/22,11.0,0.0,1021.5,42.0
84,2015/12/23,6.8,4.0,1023.2,63.0
85,2015/12/24,10.3,5.0,1009.8,82.0
86,2015/12/25,10.9,0.0,1005.1,58.0
87,2015/12/26,8.5,0.0,1009.2,47.0
88,2015/12/27,7.3,0.0,1013.9,42.0
89,2015/12/28,6.0,0.0,1018.4,37.0
90,2015/12/29,6.3,0.0,1019.7,39.0
91,2015/12/30,7.2,0.0,1023.0,40.0
92,2015/12/31,6.6,0.0,1019.5,62.0
